Annual,AMean,AMedian,APct10,APct25,APct75,APct90,computerizationprob,EmpPrse,Hourly,HMean,HMedian,HPct10,HPct25,HPct75,HPct90,MeanPrse,NumberofRecords,OccCode,OccGroup,occtitle,occupation,soc10,TotEmp
,40060,38270,22710,29610,48610,"60,090",0.97,2.1,,19.26,18.4,10.92,14.24,23.37,28.89,0.8,1,51-5111,detailed,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111,35330
,37020,35240,20460,26590,45610,"56,800",0.83,1.2,,17.8,16.94,9.84,12.79,21.93,27.31,0.5,1,51-5112,detailed,Printing Press Operators,Printing Press Operators,51-5112,168330
,32170,30260,19590,23550,38760,"48,140",0.95,2.9,,15.47,14.55,9.42,11.32,18.63,23.15,0.7,1,51-5113,detailed,Print Binding and Finishing Workers,Print Binding and Finishing Workers,51-5113,52380
,22660,20820,17260,18650,24770,"30,950",0.71,1.3,,10.9,10.01,8.3,8.97,11.91,14.88,0.4,1,51-6011,detailed,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011,201620
,21640,20470,17090,18560,24050,"28,850",0.81,2.9,,10.4,9.84,8.22,8.92,11.57,13.87,0.6,1,51-6021,detailed,"Pressers, Textile, Garment, and Related Materials",Pressers,51-6021,48340
,24680,22550,18060,19350,28590,"35,630",0.89,1.9,,11.87,10.84,8.68,9.3,13.75,17.13,0.6,1,51-6031,detailed,Sewing Machine Operators,Sewing Machine Operators,51-6031,141520
,25570,23630,17780,19590,29440,"36,430",0.52,6.7,,12.29,11.36,8.55,9.42,14.16,17.52,2,1,51-6041,detailed,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers,51-6041,8180
,25560,25190,17680,20210,29640,"35,300",0.97,8,,12.29,12.11,8.5,9.72,14.25,16.97,2.2,1,51-6042,detailed,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders,51-6042,3230
,24980,23640,18240,19840,28700,"34,100",0.99,10.8,,12.01,11.37,8.77,9.54,13.8,16.39,1.6,1,51-6051,detailed,"Sewers, Hand",Sewers,51-6051,6920
,28630,25830,18520,20990,32470,"41,390",0.84,7.1,,13.76,12.42,8.9,10.09,15.61,19.9,1.7,1,51-6052,detailed,"Tailors, Dressmakers, and Custom Sewers",Tailors,51-6052,19980
,27660,26340,19450,21800,32430,"38,200",0.97,4.5,,13.3,12.66,9.35,10.48,15.59,18.37,1.2,1,51-6061,detailed,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,11630
,26950,25490,18630,20730,30960,"38,250",0.95,4.7,,12.96,12.26,8.96,9.97,14.89,18.39,1,1,51-6062,detailed,"Textile Cutting Machine Setters, Operators, and Tenders",Textile Cutting Machine Setters,51-6062,14680
,28150,27220,19110,22150,32370,"38,410",0.73,3.6,,13.53,13.09,9.19,10.65,15.56,18.47,1.2,1,51-6063,detailed,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Textile Knitting and Weaving Machine Setters,51-6063,22560
,27580,26870,20110,22840,30590,"37,230",0.96,3.2,,13.26,12.92,9.67,10.98,14.71,17.9,1,1,51-6064,detailed,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Textile Winding,51-6064,27760
,34190,32980,21380,26270,40140,"48,890",0.88,5,,16.44,15.85,10.28,12.63,19.3,23.51,1.6,1,51-6091,detailed,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Extruding and Forming Machine Setters,51-6091,19810
,49040,43900,21270,28950,67350,"86,840",0.0049,6.4,,23.58,21.11,10.22,13.92,32.38,41.75,2.7,1,51-6092,detailed,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers,51-6092,5140
,33550,32020,19940,24620,39350,"50,340",0.39,3.4,,16.13,15.39,9.59,11.84,18.92,24.2,1,1,51-6093,detailed,Upholsterers,Upholsterers,51-6093,30180
,33980,32270,20550,25380,40020,"49,940",0.92,1.9,,16.34,15.52,9.88,12.2,19.24,24.01,0.6,1,51-7011,detailed,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,51-7011,93650
,30920,29200,19840,23760,36420,"45,270",0.87,3.6,,14.87,14.04,9.54,11.42,17.51,21.76,0.9,1,51-7021,detailed,Furniture Finishers,Furniture Finishers,51-7021,16480
