occ00,soc10,,,,,,,,,,,,
322,29-1126,,,,,,,,,,,,
323,29-1127,,,,,,,,,,,,
324,29-1129,,,,,,,,,,,,
325,29-1131,,,,,,,,,,,,
326,29-1199,,,,,,,,,,,,
330,29-2010,,,,,,,,,,,,
331,29-2021,,,,,,,,,,,,
332,29-2030,,,,,,,,,,,,
340,29-2041,,,,,,,,,,,,
341,29-2050,,,,,,,,,,,,
350,29-2061,,,,,,,,,,,,
351,29-2071,,,,,,,,,,,,
352,29-2081,,,,,,,,,,,,
353,29-2090,,,,,,,,,,,,
354,29-9000,,,,,,,,,,,,
360,31-1010,,,,,,,,,,,,
361,31-2010,,,,,,,,,,,,
362,31-2020,,,,,,,,,,,,
363,31-9011,,,,,,,,,,,,
364,31-9091,,,,,,,,,,,,
365,"31-9092,",,,,,,,,,,,,
365,"31-9093,",,,,,,,,,,,,
365,"31-9094,",,,,,,,,,,,,
365,"31-9095,",,,,,,,,,,,,
365,"31-9096,",,,,,,,,,,,,
365,31-9099,,,,,,,,,,,,
370,33-1011,,,,,,,,,,,,
371,33-1012,,,,,,,,,,,,
372,33-1021,,,,,,,,,,,,
373,33-1099,,,,,,,,,,,,
374,33-2011,,,,,,,,,,,,
375,33-2020,,,,,,,,,,,,
380,33-3010,,,,,,,,,,,,
382,33-3021,,,,,,,,,,,,
383,33-3031,,,,,,,,,,,,
384,33-3041,,,,,,,,,,,,
385,33-3051,,,,,,,,,,,,
386,33-3052,,,,,,,,,,,,
390,33-9011,,,,,,,,,,,,
391,33-9021,,,,,,,,,,,,
392,33-9030,,,,,,,,,,,,
394,33-9091,,,,,,,,,,,,
395,33-9092,,,,,,,,,,,,
395,33-9099,,,,,,,,,,,,
400,35-1011,,,,,,,,,,,,
401,35-1012,,,,,,,,,,,,
402,35-2010,,,,,,,,,,,,
403,35-2021,,,,,,,,,,,,
404,35-3011,,,,,,,,,,,,
405,35-3021,,,,,,,,,,,,
406,35-3022,,,,,,,,,,,,
411,35-3031,,,,,,,,,,,,
412,35-3041,,,,,,,,,,,,
413,35-9011,,,,,,,,,,,,
414,35-9021,,,,,,,,,,,,
415,35-9031,,,,,,,,,,,,
416,35-9099,,,,,,,,,,,,
420,37-1011,,,,,,,,,,,,
421,37-1012,,,,,,,,,,,,
422,37-2011,,,,,,,,,,,,
422,37-2019,,,,,,,,,,,,
423,37-2012,,,,,,,,,,,,
424,37-2021,,,,,,,,,,,,
425,37-3010,,,,,,,,,,,,
430,39-1010,,,,,,,,,,,,
432,39-1021,,,,,,,,,,,,
434,39-2011,,,,,,,,,,,,
435,39-2021,,,,,,,,,,,,
440,39-3010,,,,,,,,,,,,
441,39-3021,,,,,,,,,,,,
442,39-3031,,,,,,,,,,,,
443,39-3090,,,,,,,,,,,,
446,39-4000,,,,,,,,,,,,
450,39-5011,,,,,,,,,,,,
451,39-5012,,,,,,,,,,,,
452,39-5090,,,,,,,,,,,,
453,39-6010,,,,,,,,,,,,
454,39-6020,,,,,,,,,,,,
455,39-6030,,,,,,,,,,,,
460,39-9011,,,,,,,,,,,,
461,39-9021,,,,,,,,,,,,
462,39-9030,,,,,,,,,,,,
464,39-9041,,,,,,,,,,,,
465,39-9099,,,,,,,,,,,,
470,41-1011,,,,,,,,,,,,
471,41-1012,,,,,,,,,,,,
472,41-2010,,,,,,,,,,,,
474,41-2021,,,,,,,,,,,,
475,41-2022,,,,,,,,,,,,
476,41-2031,,,,,,,,,,,,
480,41-3011,,,,,,,,,,,,
481,41-3021,,,,,,,,,,,,
482,41-3031,,,,,,,,,,,,
483,41-3041,,,,,,,,,,,,
484,41-3099,,,,,,,,,,,,
485,41-4010,,,,,,,,,,,,
490,41-9010,,,,,,,,,,,,
492,41-9020,,,,,,,,,,,,
493,41-9031,,,,,,,,,,,,
494,41-9041,,,,,,,,,,,,
495,41-9091,,,,,,,,,,,,
496,41-9099,,,,,,,,,,,,
500,43-1011,,,,,,,,,,,,
501,43-2011,,,,,,,,,,,,
502,43-2021,,,,,,,,,,,,
503,43-2099,,,,,,,,,,,,
510,43-3011,,,,,,,,,,,,
511,43-3021,,,,,,,,,,,,
512,43-3031,,,,,,,,,,,,
513,43-3041,,,,,,,,,,,,
514,43-3051,,,,,,,,,,,,
515,43-3061,,,,,,,,,,,,
516,43-3071,,,,,,,,,,,,
520,43-4011,,,,,,,,,,,,
521,43-4021,,,,,,,,,,,,
522,43-4031,,,,,,,,,,,,
523,43-4041,,,,,,,,,,,,
524,43-4051,,,,,,,,,,,,
525,43-4061,,,,,,,,,,,,
526,43-4071,,,,,,,,,,,,
530,43-4081,,,,,,,,,,,,
531,43-4111,,,,,,,,,,,,
532,43-4121,,,,,,,,,,,,
533,43-4131,,,,,,,,,,,,
534,43-4141,,,,,,,,,,,,
535,43-4151,,,,,,,,,,,,
536,43-4161,,,,,,,,,,,,
540,43-4171,,,,,,,,,,,,
541,43-4181,,,,,,,,,,,,
542,43-4199,,,,,,,,,,,,
550,43-5011,,,,,,,,,,,,
551,43-5021,,,,,,,,,,,,
552,43-5030,,,,,,,,,,,,
553,43-5041,,,,,,,,,,,,
554,43-5051,,,,,,,,,,,,
555,43-5052,,,,,,,,,,,,
556,43-5053,,,,,,,,,,,,
560,43-5061,,,,,,,,,,,,
561,43-5071,,,,,,,,,,,,
562,43-5081,,,,,,,,,,,,
563,43-5111,,,,,,,,,,,,
570,43-6010,,,,,,,,,,,,
580,43-9011,,,,,,,,,,,,
581,43-9021,,,,,,,,,,,,
582,43-9022,,,,,,,,,,,,
583,43-9031,,,,,,,,,,,,
584,43-9041,,,,,,,,,,,,
585,43-9051,,,,,,,,,,,,
586,43-9061,,,,,,,,,,,,
590,43-9071,,,,,,,,,,,,
591,43-9081,,,,,,,,,,,,
592,43-9111,,,,,,,,,,,,
593,43-9199,,,,,,,,,,,,
600,45-1010,,,,,,,,,,,,
601,45-2011,,,,,,,,,,,,
602,45-2021,,,,,,,,,,,,
604,45-2041,,,,,,,,,,,,
605,45-2090,,,,,,,,,,,,
610,45-3011,,,,,,,,,,,,
611,45-3021,,,,,,,,,,,,
612,45-4011,,,,,,,,,,,,
613,45-4020,,,,,,,,,,,,
620,47-1011,,,,,,,,,,,,
621,47-2011,,,,,,,,,,,,
622,47-2020,,,,,,,,,,,,
623,47-2031,,,,,,,,,,,,
624,47-2040,,,,,,,,,,,,
625,47-2050,,,,,,,,,,,,
626,47-2061,,,,,,,,,,,,
630,47-2071,,,,,,,,,,,,
631,47-2072,,,,,,,,,,,,
632,47-2073,,,,,,,,,,,,
633,47-2080,,,,,,,,,,,,
635,47-2111,,,,,,,,,,,,
636,47-2121,,,,,,,,,,,,
640,47-2130,,,,,,,,,,,,
642,47-2141,,,,,,,,,,,,
643,47-2142,,,,,,,,,,,,
644,47-2150,,,,,,,,,,,,
646,47-2161,,,,,,,,,,,,
650,47-2171,,,,,,,,,,,,
651,47-2181,,,,,,,,,,,,
652,47-2211,,,,,,,,,,,,
653,47-2221,,,,,,,,,,,,
660,47-3010,,,,,,,,,,,,
666,47-4011,,,,,,,,,,,,
670,47-4021,,,,,,,,,,,,
