year,klemsindid,grossoutputnom,capitalnom,labornom,intermediatenom,grossoutputcon,capitalcon,laborcon,intermediatecon
1948,2,1884.3,670.9,370.4,843.0,12894.7,1271.0,4023.8,5295.6
1949,2,1685.3,602.6,381.7,701.0,12147.3,1392.1,4016.6,4565.9
1950,2,2161.2,746.6,417.6,997.0,15121.2,1490.7,3996.5,6160.4
1951,2,2464.4,853.6,465.8,1145.0,15516.6,1577.5,4188.9,6347.4
1952,2,2465.4,807.2,513.2,1145.0,15260.6,1675.1,4233.4,6379.5
1953,2,2568.5,774.5,569.0,1225.0,16936.2,1726.7,4323.9,6913.9
1954,2,2391.0,738.6,617.5,1035.0,16408.0,1753.0,4417.9,5832.0
1955,2,2801.3,874.4,624.0,1303.0,18937.5,1860.9,4490.6,7332.2
1956,2,2868.2,853.5,672.7,1342.0,18727.8,1982.3,4644.3,7418.9
1957,2,2640.2,778.9,684.3,1177.0,18029.9,2055.8,4689.2,6429.6
1958,2,2597.4,778.0,742.4,1077.0,17363.3,2191.1,4675.8,5813.8
1959,2,3176.6,900.2,776.4,1500.0,18699.6,2275.4,4775.7,7947.9
1960,2,3264.2,890.9,780.3,1593.0,19784.2,2280.4,4924.0,8465.7
1961,2,3381.9,892.7,808.3,1681.0,20617.1,2299.7,5244.9,8971.6
1962,2,3778.7,1071.4,847.3,1860.0,22450.6,2337.3,5302.0,9781.2
1963,2,4234.6,1135.9,867.7,2231.0,24279.4,2375.7,5312.1,11604.7
1964,2,4664.5,1325.4,926.1,2413.0,25494.4,2502.0,4891.2,12174.0
1965,2,5054.1,1429.8,1030.3,2594.0,27036.3,2699.0,4974.9,12837.8
1966,2,5525.3,1462.6,1129.6,2933.0,28957.5,2843.4,5089.9,14099.6
1967,2,5840.9,1550.4,1165.4,3125.0,28945.8,2982.8,5216.3,14699.0
1968,2,6785.1,1817.3,1275.8,3692.0,32444.3,3135.3,5228.2,16900.1
1969,2,7673.6,2021.9,1434.7,4217.0,33046.3,3291.3,5451.4,18126.7
1970,2,7689.5,1983.5,1559.9,4146.0,31199.8,3543.6,5419.5,17026.0
1971,2,8864.3,2266.8,1715.4,4882.0,32815.4,3823.1,5468.5,19151.1
1972,2,11443.3,2791.5,1872.9,6779.0,40048.0,4027.9,5925.5,25402.8
1973,2,13432.0,3195.1,2213.9,8023.0,37591.8,4436.8,6410.4,25998.9
1974,2,14548.5,3237.1,2547.4,8764.0,39781.5,4850.4,6488.9,25440.5
1975,2,13730.5,2976.8,2751.7,8002.0,37606.0,5062.4,6089.6,21921.5
1976,2,16931.1,3881.9,3175.2,9874.0,39190.2,5381.3,6977.0,24660.3
1977,2,20043.4,4204.2,3460.2,12379.0,40427.9,5720.1,7567.0,28287.1
1978,2,22762.1,4751.0,3997.1,14014.0,41138.6,6115.2,8534.6,29356.1
1979,2,25030.2,5499.7,4588.5,14942.0,40548.0,6546.0,9261.9,27986.5
1980,2,24888.8,5397.1,5353.7,14138.0,41514.9,6993.7,9407.9,24434.0
1981,2,26065.1,4869.0,5779.1,15417.0,41215.6,7442.6,9396.8,24971.7
